Time,Amount,Class
209,1.19,0
209,45,0
209,95.56,0
209,13.99,0
210,12.99,0
211,526.96,0
211,70,0
213,4.38,0
215,12.99,0
217,24,0
218,1,0
218,17.56,0
218,12.99,0
220,18.96,0
220,22.58,0
221,99.82,0
221,25.36,0
222,7.81,0
222,18.61,0
222,49.99,0
222,17.24,0
225,34,0
225,35.11,0
227,1,0
227,29.95,0
228,45.3,0
230,79.18,0
231,26.98,0
231,1.98,0
234,42.81,0
235,25,0
236,0.99,0
236,7.14,0
237,9.99,0
237,32.51,0
238,8.99,0
239,10,0
241,10.62,0
241,4.81,0
241,12.2,0
241,12.31,0
242,2.69,0
244,100.37,0
246,1.5,0
246,1.98,0
246,2.98,0
247,18.94,0
248,10,0
249,13.28,0
250,5.96,0
251,31.8,0
251,120,0
251,24,0
252,231.71,0
256,13.53,0
256,18.45,0
257,1.98,0
258,13.79,0
259,20.17,0
259,9.99,0
259,55.45,0
259,0.99,0
260,26.5,0
260,99,0
260,5.46,0
261,1.98,0
263,49.99,0
265,24.84,0
265,13.08,0
265,9.03,0
265,1,0
266,10.35,0
266,14.9,0
266,154.4,0
267,122.36,0
267,2.28,0
268,6.54,0
269,2.6,0
269,6.47,0
270,52.95,0
271,0.89,0
271,5.99,0
272,208.38,0
273,32.51,0
273,6.51,0
273,18,0
274,1.98,0
275,70.33,0
278,2.69,0
279,19.29,0
279,8.99,0
280,109.15,0
282,0,0
282,27,0
282,2,0
282,11.64,0
283,94.5,0
283,2.31,0
284,7.89,0
284,1,0
284,11.99,0
284,302.1,0
284,30.3,0
285,8.99,0
287,160,0
288,380.95,0
288,156.98,0
288,6.54,0
289,74.47,0
290,30.5,0
290,85,0
290,67.36,0
290,101,0
292,4.45,0
292,23.88,0
293,5,0
294,73,0
294,33.33,0
297,6.86,0
297,54.75,0
297,6.2,0
297,12.31,0
298,13.99,0
298,36,0
300,1.91,0
302,90,0
302,9.99,0
303,2.95,0
303,90,0
304,1.98,0
305,379.63,0
307,52.9,0
307,9.97,0
308,60,0
309,1,0
309,14.6,0
310,7.8,0
310,22.09,0
310,222.5,0
311,11.5,0
311,8.58,0
312,140.6,0
312,493.44,0
312,33.26,0
313,15.08,0
313,68,0
315,11.46,0
315,69.99,0
317,19.99,0
317,7.69,0
318,10,0
322,1.79,0
322,9.99,0
322,29.56,0
323,0.77,0
323,52,0
324,0.89,0
325,17.24,0
327,36.71,0
328,2.5,0
330,55.76,0
330,32.38,0
331,0.89,0
332,11.34,0
333,75,0
333,216,0
335,1.03,0
335,4.8,0
336,7.72,0
339,2,0
339,98,0
340,47,0
340,0.99,0
341,22,0
341,62.63,0
342,197.63,0
343,75.83,0
344,456.71,0
346,6,0
346,5,0
346,10.99,0
347,204.03,0
348,3.99,0
351,12.99,0
352,13.99,0
352,2.67,0
353,12.87,0
353,611.76,0
354,2.31,0
354,11.38,0
354,23.88,0
355,2.61,0
355,19.64,0
356,20.48,0
356,105.87,0
356,15,0
357,0.75,0
358,17.43,0
358,41.64,0
359,1.29,0
360,0.89,0
362,79,0
363,37.92,0
365,74.22,0
365,0.68,0
366,9.99,0
366,97.47,0
367,1.29,0
368,1.98,0
368,1.98,0
369,1,0
369,32.63,0
369,1.98,0
370,4.79,0
373,10.29,0
373,1.79,0
375,29.18,0
376,12.89,0
376,4.45,0
376,11.39,0
377,40.83,0
378,85.25,0
379,881.13,0
380,0,0
380,9.99,0
382,45.38,0
383,17.99,0
383,16,0
384,510.22,0
386,1,0
386,575.33,0
387,10,0
388,12.99,0
388,9.99,0
389,8.93,0
389,29.95,0
391,27.7,0
392,82.29,0
393,64.04,0
394,1,0
394,1.55,0
399,15.19,0
402,0.01,0
403,0,0
403,411.88,0
403,52.4,0
403,15,0
404,0.99,0
405,27.13,0
406,1.98,0
406,0,1
406,46.68,0
407,146.25,0
408,7.3,0
409,0.77,0
409,72,0
410,56.09,0
410,39.77,0
410,0.89,0
411,235.7,0
411,10,0
413,40,0
413,57.5,0
413,30,0
414,29.99,0
414,1,0
415,24.02,0
417,8.61,0
417,29.99,0
417,0.89,0
421,10.69,0
421,12.41,0
421,1,0
422,60.92,0
423,43.34,0
423,3.75,0
425,3.59,0
426,16.19,0
426,4.95,0
427,11.36,0
427,12.98,0
427,539.17,0
427,246.96,0
427,10,0
430,0,0
430,2.31,0
430,30,0
432,102.13,0
432,22.03,0
433,34.27,0
433,5.31,0
434,25.03,0
436,15.8,0
438,2,0
438,8.49,0
439,3.67,0
439,0.77,0
441,9.27,0
441,50,0
442,2.23,0
442,77.98,0
443,46.77,0
444,399.07,0
446,17.99,0
446,64,0
448,11.99,0
449,10.2,0
450,75.65,0
452,49.98,0
453,92.91,0
454,9.65,0
455,1.98,0
457,121.48,0
457,2.72,0
458,13,0
459,2.99,0
459,6.99,0
460,50.78,0
460,13.49,0
460,79,0
460,2.85,0
462,13.99,0
463,55,0
463,37.57,0
463,1,0
464,11.99,0
464,1.48,0
465,7.69,0
466,20,0
471,48,0
472,0.92,0
472,17.57,0
472,529,1
472,59.88,0
476,1,0
477,9.51,0
478,1.79,0
478,10,0
478,79,0
479,1,0
480,0.75,0
480,732,0
481,1015.61,0
481,11.5,0
483,20.74,0
483,4.42,0
484,158,0
484,49.9,0
484,1,0
484,99.9,0
487,7.48,0
487,91.76,0
487,8.99,0
488,64.99,0
489,139.75,0
490,3.44,0
490,254.41,0
491,18.45,0
491,9.99,0
491,10,0
492,632.4,0
493,67.94,0
494,54.99,0
495,834.84,0
496,29,0
496,16.5,0
496,50.99,0
497,8.83,0
498,5,0
499,1.98,0
499,22.83,0
499,92.82,0
501,3,0
502,45.56,0
503,268.93,0
503,712.82,0
504,24.9,0
508,2.27,0
509,22.77,0
509,114,0
509,6.99,0
509,8.28,0
510,1.99,0
510,35.93,0
511,8.93,0
511,37.96,0
512,80,0
513,4.69,0
513,7,0
513,1,0
513,64,0
514,36.61,0
514,30.49,0
517,10,0
517,59.9,0
518,4.45,0
518,9.99,0
519,0.89,0
521,69.99,0
522,39.05,0
523,15.19,0
523,42.64,0
524,37.89,0
524,52.05,0
525,59.9,0
525,79.54,0
528,3.71,0
528,25.41,0
529,1.5,0
530,1.98,0
530,9.72,0
530,1,0
530,12,0
532,75.17,0
532,17.99,0
533,291.36,0
534,25,0
535,8.5,0
535,30.41,0
536,15,0
536,0.89,0
536,102,0
537,27.34,0
538,158,0
539,35.64,0
539,1.29,0
539,1,0
541,67.1,0
543,2.98,0
544,11.46,0
545,3.98,0
547,6.85,0
547,1.48,0
548,24.99,0
548,41.96,0
549,30,0
549,530.85,0
550,74.22,0
550,16.83,0
550,2.99,0
550,2.67,0
550,317.25,0
551,23.97,0
551,8.84,0
552,5.95,0
553,986.31,0
553,10.08,0
554,35.95,0
555,11.22,0
556,206.77,0
557,1,0
557,11.45,0
557,3.95,0
558,17.68,0
559,22.24,0
559,9.23,0
559,242.15,0
559,50.2,0
559,8.99,0
560,9.99,0
561,149.9,0
561,0.89,0
562,10.99,0
564,48,0
564,9.99,0
564,12.9,0
566,18.56,0
569,15.25,0
571,9.99,0
571,2.89,0
572,8.98,0
572,158,0
574,12,0
574,131.37,0
574,0.76,0
574,1.29,0
575,26.72,0
579,80,0
579,5.98,0
580,12.36,0
581,13.79,0
581,145.56,0
582,18,0
583,10.77,0
586,4.49,0
586,29.56,0
588,0.01,0
588,275.89,0
589,1,0
589,15,0
590,50,0
592,470.88,0
593,2.69,0
597,11.46,0
598,605.5,0
599,0.99,0
599,55.61,0
600,0.89,0
600,11.98,0
600,2.72,0
602,120.02,0
604,10.8,0
604,79.95,0
604,1.79,0
604,26.57,0
605,10,0
605,134.7,0
605,17.5,0
607,69.99,0
608,15,0
608,11.97,0
609,69.99,0
610,47.85,0
610,59.9,0
610,174.88,0
611,19.98,0
611,99,0
611,8.38,0
614,2.68,0
614,21.5,0
617,12.99,0
619,24.9,0
619,25.99,0
623,105.16,0
623,1.98,0
623,1,0
624,1.78,0
624,9.99,0
626,10.99,0
626,30.5,0
628,56,0
629,4,0
630,223.25,0
630,1.98,0
630,79,0
631,57.64,0
631,16.98,0
631,1,0
633,24.99,0
633,29.35,0
634,68.7,0
634,29.9,0
636,32.51,0
636,29.48,0
636,2.5,0
636,37.99,0
637,4.88,0
638,5.26,0
638,25.98,0
639,54.8,0
640,125.86,0
642,75.93,0
643,589.21,0
643,13.99,0
646,1.79,0
646,114.34,0
646,204,0
646,1.18,0
647,23.43,0
647,8.99,0
647,18.56,0
648,28.14,0
648,0.77,0
649,4.52,0
649,12,0
650,4.95,0
651,1,0
651,4.2,0
651,4.99,0
654,9.9,0
654,0.05,0
654,15.79,0
654,1,0
655,24.9,0
656,1602.99,0
656,8.99,0
656,7.04,0
656,158,0
657,1,0
658,1.78,0
659,8.9,0
659,117.28,0
660,15,0
661,99,0
663,19.54,0
664,60,0
665,73,0
666,0.05,0
666,13.99,0
666,64.63,0
666,47.76,0
666,3.58,0
667,24.9,0
668,3.1,0
668,1.98,0
670,57.7,0
670,17.68,0
671,42.56,0
672,7.95,0
672,0.89,0
672,94.86,0
672,0.05,0
674,22,0
674,0.92,0
674,24.9,0
676,39.05,0
677,32.14,0
677,16.31,0
677,0.89,0
678,15.8,0
679,0.05,0
679,25.39,0
680,24.9,0
680,89.95,0
681,9.99,0
683,287.57,0
684,9.99,0
685,1,0
685,217,0
685,8.91,0
687,53.54,0
688,64.99,0
691,0.05,0
692,60,0
692,10.99,0
692,1.98,0
693,24.9,0
693,0.85,0
694,64,0
694,18,0
694,17.24,0
696,22.61,0
696,18.56,0
699,23.43,0
699,15.38,0
701,171.32,0
702,143.9,0
704,24.38,0
704,1.29,0
705,4.99,0
705,6.55,0
705,1,0
707,25,0
708,9.87,0
710,25,0
711,0,0
711,12.15,0
711,0.77,0
713,13.98,0
713,33.99,0
714,24.95,0
714,0.89,0
715,69.97,0
716,8.99,0
717,5,0
718,9.99,0
718,9.48,0
718,467.74,0
719,8.96,0
719,51.45,0
720,5,0
721,1.46,0
721,5,0
722,767.7,0
722,87.47,0
723,131.95,0
723,179.84,0
725,0.76,0
726,9.44,0
726,8.99,0
728,4.49,0
729,13.94,0
729,1.98,0
730,500,0
730,5.45,0
731,9.95,0
734,0.89,0
734,0.89,0
734,94.65,0
735,10.38,0
735,15.15,0
736,25.3,0
737,1.98,0
737,25.85,0
738,220.28,0
739,9.99,0
741,294.95,0
741,29.99,0
741,8.12,0
742,25.95,0
742,11.98,0
742,16.5,0
742,11.5,0
743,153,0
744,138,0
744,0.1,0
745,1.29,0
746,47.9,0
747,16.18,0
748,82.39,0
749,354.85,0
750,15.37,0
750,5.91,0
751,14.05,0
751,3.9,0
752,1.78,0
753,30,0
755,82.37,0
755,8,0
756,2.69,0
756,2.5,0
756,7.28,0
758,0.99,0
758,2.49,0
758,1,0
758,291.38,0
759,15,0
760,82.39,0
761,792.2,0
762,29.99,0
763,15,0
763,29.95,0
764,1.98,0
765,16.45,0
766,9.99,0
766,62.85,0
769,1,0
769,0.89,0
769,0.76,0
770,39.09,0
770,112.38,0
770,1.98,0
772,1.78,0
773,41.4,0
774,8.94,0
774,78.44,0
775,1528.9,0
776,17.87,0
776,88.88,0
776,29,0
777,237.98,0
778,9.73,0
780,8,0
783,1,0
784,14.2,0
784,5.07,0
784,37.5,0
784,203.83,0
788,5.42,0
788,9.95,0
789,7.69,0
789,11.38,0
790,1.29,0
790,197.16,0
791,52.93,0
791,44.91,0
792,3.37,0
792,25.54,0
793,7.82,0
793,9.31,0
795,0.89,0
798,34.6,0
798,7.99,0
800,1.98,0
802,11.99,0
803,34.9,0
804,34.95,0
804,1,0
804,0,0
805,13,0
805,8.9,0
805,1,0
807,74.64,0
808,352.89,0
809,45.9,0
810,6,0
811,5.35,0
813,9.99,0
815,74.22,0
816,5.8,0
817,8.04,0
820,0,0
821,309,0
821,82.5,0
822,156.04,0
823,128.68,0
823,17.5,0
823,9,0
824,144,0
828,11.5,0
830,186.14,0
832,11.45,0
833,8,0
833,55,0
834,59,0
835,0.89,0
836,56.86,0
836,10,0
839,293.34,0
840,8.99,0
841,6.1,0
841,6.99,0
843,14.99,0
843,0.46,0
844,1,0
845,201.1,0
846,1.49,0
850,8.97,0
852,1,0
854,2.34,0
854,21.03,0
855,196.46,0
856,23.9,0
857,2.49,0
858,1.79,0
860,13.27,0
861,10,0
861,418.48,0
861,15,0
862,1,0
862,1.98,0
863,148.59,0
863,128,0
864,188,0
866,102.9,0
868,17.28,0
868,7.8,0
869,1,0
871,28.9,0
871,15.3,0
871,8.99,0
871,15.17,0
871,6.56,0
872,158,0
873,7.19,0
873,1,0
874,7.69,0
875,13.31,0
875,20.53,0
875,8.9,0
878,18.8,0
878,69.7,0
879,19.51,0
881,93.82,0
881,107.9,0
881,7.65,0
881,139.95,0
884,1.29,0
887,158,0
890,21.98,0
890,6.95,0
890,135.98,0
891,4.04,0
892,13.27,0
892,14.81,0
893,158,0
894,1,0
896,38,0
896,2.72,0
897,158,0
897,42.35,0
898,1,0
899,57,0
899,268.13,0
900,89.9,0
900,1,0
904,75.13,0
905,0.89,0
907,22.79,0
907,2.69,0
908,136.3,0
908,16.99,0
908,6.74,0
909,89.46,0
909,51.67,0
909,5.47,0
911,0.77,0
911,2,0
912,24.08,0
912,0,0
912,2.28,0
914,11.03,0
915,8.99,0
916,4.97,0
917,104,0
917,158,0
919,158,0
919,158,0
919,1,0
919,1,0
919,4.91,0
921,158,0
921,44.99,0
922,474.59,0
922,1,0
923,0.77,0
923,69.81,0
924,63.7,0
924,158,0
924,7.74,0
925,158,0
925,8.99,0
926,64.99,0
926,1,0
927,150,0
928,158,0
929,53.75,0
929,1,0
929,6.99,0
930,22.17,0
931,29.9,0
932,50,0
933,2.27,0
933,500,0
935,4.77,0
936,158,0
936,5.99,0
936,189,0
937,158,0
938,13.99,0
938,1,0
938,19.99,0
939,0.89,0
939,64.5,0
939,7.81,0
940,7.59,0
940,1.98,0
940,135,0
942,3.16,0
942,32.52,0
943,213.1,0
943,10.59,0
943,48.94,0
945,101.26,0
945,158,0
946,192.17,0
946,1,0
947,28.9,0
947,86.97,0
947,0.89,0
949,82.62,0
950,0.79,0
951,5,0
952,21.66,0
952,113.59,0
954,0.99,0
955,90.5,0
955,17.92,0
956,136.3,0
956,343,0
957,84.95,0
957,19.72,0
957,0.95,0
958,25.28,0
961,281.42,0
963,4.49,0
963,5.99,0
963,240.9,0
965,7.62,0
966,0.99,0
966,1.98,0
966,158,0
967,7.65,0
971,12.14,0
971,9.48,0
972,158,0
972,10.86,0
973,31,0
973,46.39,0
973,1,0
973,64.93,0
973,12.99,0
974,10.62,0
974,8.49,0
974,40.2,0
977,99.99,0
977,55.97,0
978,226.53,0
978,0.77,0
978,14,0
978,1.78,0
979,15.13,0
980,3.56,0
982,38.44,0
983,49,0
984,1.68,0
986,1.94,0
986,14.99,0
986,2.78,0
989,17.49,0
990,1736,0
990,11.84,0
991,53.39,0
993,1.98,0
994,11.43,0
994,12.86,0
997,10.81,0
999,1,0
999,1.79,0
1000,20.43,0
1000,26,0
1001,4.95,0
1001,12.94,0
1004,10,0
1005,11,0
1009,9.99,0
1015,1.45,0
1016,306.95,0
1018,32.97,0
1020,431,0
1021,195,0
1022,84.4,0
1022,158,0
1022,9.51,0
1023,1.98,0
1025,8,0
1026,10.82,0
1026,158,0
1027,1,0
1028,1,0
1029,49.5,0
1029,2.58,0
1029,0.92,0
1030,17.49,0
1030,1.78,0
1030,42.99,0
1034,2.58,0
1034,19.99,0
1034,233.15,0
1035,155.75,0
1036,76.13,0
1036,5,0
1036,9.95,0
1038,158,0
1038,158,0
1039,1,0
1040,149.98,0
1040,160,0
1040,25,0
1041,173,0
1041,0.76,0
1041,5.28,0
1041,274.72,0
1042,1,0
1043,158,0
1045,158,0
1045,158,0
1045,4.68,0
1046,1,0
1046,91.18,0
1046,2.69,0
1046,4.49,0
1047,4.99,0
1048,9.5,0
1049,5.47,0
1050,198.83,0
1051,0.12,0
1051,44.48,0
1051,36.26,0
1051,41.89,0
1052,8.99,0
1052,0.9,0
1053,21.48,0
1053,2.33,0
1054,1,0
1054,30.33,0
1055,10.62,0
1055,9.12,0
1055,196.33,0
1056,2.28,0
1057,32.14,0
1057,12.99,0
1058,6.25,0
1059,68,0
1059,48.43,0
1060,158,0
1061,21.87,0
1062,8.99,0
1064,16.9,0
1065,0.99,0
1065,500,0
1066,3.5,0
1066,20,0
1069,224.99,0
1069,50,0
1071,0.89,0
1072,12.48,0
1072,158,0
1072,10.95,0
1073,202.37,0
1074,158,0
1074,158,0
1074,1,0
1074,1,0
1074,8.97,0
1075,384.11,0
1077,158,0
1077,2452.03,0
1077,160,0
1078,4.86,0
1078,35.79,0
1079,0.77,0
1079,147.2,0
1079,0.76,0
1080,1,0
1081,71.73,0
1082,20.07,0
1082,59.9,0
1082,2.69,0
1083,160,0
1083,158,0
1083,7.49,0
1084,75.08,0
1084,229.9,0
1085,99,0
1089,23.97,0
1090,78.03,0
1091,158,0
1092,1,0
1093,158,0
1093,160,0
1094,21.29,0
1094,9.57,0
1095,37.85,0
1095,64.94,0
1095,0.99,0
1096,30.33,0
1096,1,0
1097,224,0
1097,55.94,0
1097,367.2,0
1098,1.29,0
1099,160,0
1102,1,0
1103,1376.13,0
1103,213.87,0
1104,106.77,0
1105,51.5,0
1105,36.29,0
1106,160,0
1108,160,0
1109,1,0
1111,1,0
1111,29.54,0
1112,50,0
1113,6.36,0
1114,53.02,0
1114,160,0
1114,135.19,0
1117,158,0
1117,0.99,0
1117,1,0
1120,44,0
1121,26,0
1121,2.28,0
1121,318,0
1122,3.32,0
1124,160,0
1124,167.09,0
1124,10.46,0
1125,19.49,0
1127,1,0
1128,198,0
1128,87.75,0
1129,24,0
1129,71.17,0
1131,160,0
1131,7.15,0
1132,0.38,0
1133,1,0
1135,144.14,0
1136,6.23,0
1138,10.99,0
1138,3.75,0
1139,66.6,0
1140,27.99,0
1140,13.99,0
1144,9.99,0
1146,50,0
1148,158,0
1150,82.25,0
1151,38,0
1152,8.99,0
1152,64.2,0
1153,90,0
1153,158,0
1153,4.73,0
1154,1,0
1155,0.85,0
1156,148.49,0
1158,113.02,0
1158,17.79,0
1158,32.5,0
1158,75.46,0
1159,239.02,0
1159,23.74,0
1161,60,0
1161,410.49,0
1161,49.99,0
1161,76.48,0
1161,13.99,0
1162,7.81,0
1162,9.75,0
1163,24,0
1164,1.98,0
1164,158,0
1165,1.53,0
1165,45.42,0
1166,19.22,0
1166,60,0
1167,158,0
1169,10.91,0
1170,65,0
1171,9.99,0
1171,189.25,0
1173,80.65,0
1173,23.92,0
1174,1.98,0
1175,142.42,0
1176,62.57,0
1177,60.2,0
1177,11.5,0
1178,158,0
1179,251.35,0
1180,22.71,0
1186,449,0
1187,10.97,0
1188,30.3,0
1188,100,0
1189,4,0
1190,4,0
1190,8.99,0
1191,67.23,0
1191,0.89,0
1191,1,0
1193,0,0
1194,44.22,0
1196,20.17,0
1200,6.77,0
1200,118.98,0
1201,4.99,0
1201,9.99,0
1201,37.98,0
1204,84.68,0
1204,65.3,0
1205,7.42,0
1206,12,0
1207,0.99,0
1208,160,0
1210,3.77,0
1211,160,0
1211,9.99,0
1212,68.02,0
1213,8.65,0
1213,36.03,0
1214,0.89,0
1215,10,0
1216,13.99,0
1216,9.99,0
1217,75.84,0
1217,154.99,0
1218,316,0
1218,160,0
1220,3.59,0
1220,158,0
1221,79,0
1221,1,0
1221,1,0
1223,47.31,0
1223,4,0
1223,4.49,0
1224,160,0
1225,1,0
1225,30.38,0
1227,23.88,0
1227,276.93,0
1227,1,0
1227,11.89,0
1228,279.93,0
1228,15.09,0
1229,3.19,0
1229,160,0
1230,1.99,0
1230,5.55,0
1231,0.78,0
1231,0.75,0
1231,79.9,0
1232,1,0
1232,221.79,0
1233,13.99,0
1233,2.69,0
1233,1.49,0
1234,26.21,0
1235,115,0
1236,186.96,0
1236,160,0
1237,93,0
1238,66.21,0
1238,35.69,0
1238,160,0
1239,1,0
1240,174.5,0
1240,1,0
1241,15,0
1242,160,0
1244,160,0
1245,1,0
1246,17.77,0
1246,6.54,0
1247,1,0
1247,15.13,0
1247,21.66,0
1248,34.13,0
1248,9.99,0
1249,20,0
1250,71.87,0
1251,39.8,0
1251,500,0
1252,160,0
1252,1,0
1252,43.54,0
1252,1.29,0
1252,1.79,0
1253,160,0
1253,6.28,0
1254,1,0
1256,1,0
1256,5.49,0
1256,49.9,0
1257,4.29,0
1257,2.28,0
1259,0.89,0
1259,9,0
1260,17.74,0
1260,1,0
1260,1.98,0
1261,34.15,0
1261,160,0
1261,102,0
1262,17.99,0
1263,0.99,0
1264,7712.43,0
1264,85.79,0
1265,21.52,0
1265,160,0
1266,73.66,0
1266,2,0
1266,160,0
1266,14.93,0
1266,158,0
1267,1127.78,0
1268,1,0
1268,1,0
1269,149.79,0
1271,142.13,0
1271,33.62,0
1271,11.95,0
1271,1.98,0
1272,1.46,0
1274,30.89,0
1280,38.99,0
1280,0.99,0
1280,8.91,0
1280,17.99,0
1282,474,0
1283,1.98,0
1283,9.99,0
1285,14.5,0
1286,17.99,0
1287,128,0
1287,5,0
1288,64.99,0
1290,5,0
1291,64.69,0
1292,132,0
1293,8,0
1294,5,0
1295,30,0
1295,15.98,0
1296,41.36,0
1297,49.57,0
1297,17.99,0
1297,838.2,0
1298,52.52,0
1298,5,0
1300,1.29,0
1301,5,0
1302,118,0
1302,58.9,0
1303,0.89,0
1303,11.03,0
1307,24.56,0
1308,25.3,0
1308,25.3,0
1308,43.8,0
1308,43.8,0
1309,3.99,0
1309,11.76,0
1309,5,0
1309,68.5,0
1310,17.99,0
1310,80.51,0
1310,20,0
1312,123.02,0
1313,11.37,0
1313,1.83,0
1313,0.99,0
1314,5,0
1315,1,0
1316,160,0
1316,20.22,0
1316,5,0
1316,4.99,0
1317,36.19,0
1317,1,0
1319,1,0
1320,5,0
1322,160,0
1322,329,0
1323,12.09,0
1323,5,0
1323,10.09,0
1323,30,0
1324,137.7,0
1326,1.44,0
1328,160,0
1328,5,0
1328,0.89,0
1332,13.99,0
1332,95,0
1333,1.79,0
1335,9.95,0
1335,4,0
1339,8.65,0
1339,1.78,0
1340,0.76,0
1340,5,0
1341,27.83,0
1341,38.09,0
1341,1,0
1343,4.26,0
1344,1.98,0
1345,13.99,0
1345,1.04,0
1346,9.78,0
1346,50.56,0
1347,5,0
1347,4.49,0
1349,50,0
1349,1,0
1350,5,0
1351,1.79,0
1351,91.64,0
1351,1,0
1351,138,0
1352,22.5,0
1352,479.08,0
1353,11.45,0
1353,6.54,0
1354,4.38,0
1354,5,0
1355,1,0
1355,200,0
1356,26.59,0
1356,63.65,0
1356,5,0
1356,179.16,0
1357,77.26,0
1358,5,0
1358,1,0
1358,37.73,0
1358,2.31,0
1359,1,0
1359,17.39,0
1362,14.9,0
1363,1.78,0
1364,5,0
1364,2.46,0
1366,5,0
1367,1,0
1367,3.67,0
1368,24.95,0
1372,6.4,0
1373,104.48,0
1377,1.85,0
1377,187.95,0
1378,12.33,0
1379,4.49,0
1379,48.76,0
1380,15.38,0
1382,102,0
1382,22.74,0
1382,11.84,0
1386,61.18,0
1387,126.85,0
1387,0.99,0
1387,1.98,0
1389,15,0
1390,74.22,0
